name	taxonomy_id	taxonomy_lvl	SRR9061428_S.bracken_num	SRR9061428_S.bracken_frac	SRR9061429_S.bracken_num	SRR9061429_S.bracken_frac	SRR9061430_S.bracken_num	SRR9061430_S.bracken_frac	SRR9061431_S.bracken_num	SRR9061431_S.bracken_frac	SRR9061432_S.bracken_num	SRR9061432_S.bracken_frac	SRR9061433_S.bracken_num	SRR9061433_S.bracken_frac	SRR9061434_S.bracken_num	SRR9061434_S.bracken_frac	SRR9061435_S.bracken_num	SRR9061435_S.bracken_frac	SRR9061436_S.bracken_num	SRR9061436_S.bracken_frac	SRR9061437_S.bracken_num	SRR9061437_S.bracken_frac	SRR9061438_S.bracken_num	SRR9061438_S.bracken_frac	SRR9061439_S.bracken_num	SRR9061439_S.bracken_frac	SRR9061440_S.bracken_num	SRR9061440_S.bracken_frac	SRR9061441_S.bracken_num	SRR9061441_S.bracken_frac	SRR9061442_S.bracken_num	SRR9061442_S.bracken_frac	SRR9061443_S.bracken_num	SRR9061443_S.bracken_frac	SRR9061444_S.bracken_num	SRR9061444_S.bracken_frac	SRR9061445_S.bracken_num	SRR9061445_S.bracken_frac	SRR9061446_S.bracken_num	SRR9061446_S.bracken_frac	SRR9061447_S.bracken_num	SRR9061447_S.bracken_frac	SRR9061448_S.bracken_num	SRR9061448_S.bracken_frac	SRR9061449_S.bracken_num	SRR9061449_S.bracken_frac	SRR9061450_S.bracken_num	SRR9061450_S.bracken_frac	SRR9061451_S.bracken_num	SRR9061451_S.bracken_frac	SRR9061452_S.bracken_num	SRR9061452_S.bracken_frac	SRR9061453_S.bracken_num	SRR9061453_S.bracken_frac	SRR9061454_S.bracken_num	SRR9061454_S.bracken_frac	SRR9061455_S.bracken_num	SRR9061455_S.bracken_frac	SRR9061456_S.bracken_num	SRR9061456_S.bracken_frac	SRR9061457_S.bracken_num	SRR9061457_S.bracken_frac
Bacteroides fragilis	2596	S	1541	0.05888	1656	0.05486	18687	0.79924	12675	0.75771	3483	0.10792	4192	0.12986	0	0.00000	0	0.00000	0	0.00000	0	0.00000	10230	0.34964	9002	0.33116	23514	0.76379	17788	0.57658	0	0.00000	0	0.00000	4584	0.15123	5403	0.13370	1293	0.04508	1302	0.04301	6221	0.18953	7309	0.19166	18693	0.70108	20587	0.69772	527	0.02179	577	0.02593	0	0.00000	0	0.00000	1921	0.04922	1405	0.04284
Bacteroides ovatus	2597	S	1728	0.06603	2045	0.06775	599	0.02562	343	0.02050	261	0.00809	386	0.01196	0	0.00000	0	0.00000	0	0.00000	0	0.00000	2480	0.08476	2013	0.07405	1493	0.04850	1296	0.04201	0	0.00000	0	0.00000	3069	0.10125	3163	0.07827	0	0.00000	542	0.01791	168	0.00512	156	0.00409	2033	0.07625	2341	0.07934	1152	0.04762	1039	0.04669	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Bacteroides caccae	2592	S	1011	0.03863	988	0.03273	688	0.02943	369	0.02206	0	0.00000	314	0.00973	0	0.00000	0	0.00000	104	0.00302	112	0.00328	0	0.00000	0	0.00000	269	0.00874	362	0.01173	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	813	0.02686	373	0.01136	412	0.01080	2093	0.07850	2049	0.06944	6897	0.28512	6466	0.29059	263	0.00807	224	0.00617	3228	0.08271	2494	0.07605
Parabacteroides distasonis	2601	S	6855	0.26194	7864	0.26053	0	0.00000	0	0.00000	995	0.03083	1150	0.03563	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	5151	0.21294	4887	0.21963	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Capnocytophaga ochracea	2617	S	28	0.00107	24	0.00080	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Veillonella dispar	2801	S	6205	0.23710	8070	0.26735	683	0.02921	0	0.00000	10635	0.32952	10546	0.32670	0	0.00000	0	0.00000	5157	0.14980	5624	0.16455	1039	0.03551	1149	0.04227	0	0.00000	0	0.00000	5121	0.15168	6159	0.19253	5692	0.18778	8055	0.19932	2495	0.08698	4421	0.14606	1125	0.03427	1249	0.03275	2112	0.07921	2228	0.07551	2545	0.10521	1803	0.08103	7304	0.22400	9076	0.24988	11399	0.29206	6988	0.21309
Veillonella parvula	2802	S	1297	0.04956	1978	0.06553	0	0.00000	0	0.00000	4371	0.13543	4339	0.13442	0	0.00000	0	0.00000	752	0.02184	951	0.02782	0	0.00000	0	0.00000	0	0.00000	0	0.00000	781	0.02313	1031	0.03223	1270	0.04190	2668	0.06602	937	0.03267	1673	0.05527	301	0.00917	522	0.01369	0	0.00000	0	0.00000	0	0.00000	799	0.03591	1474	0.04521	1912	0.05264	1818	0.04658	1380	0.04208
Desulfosporosinus meridiei	2785	S	48	0.00183	42	0.00139	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	25	0.00081	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	43	0.00146	31	0.00128	36	0.00162	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Bifidobacterium longum	2583	S	4385	0.16756	4089	0.13546	0	0.00000	0	0.00000	494	0.01531	624	0.01933	18627	0.69379	24161	0.74168	7081	0.20568	7686	0.22487	2186	0.07471	3106	0.11426	1535	0.04986	2634	0.08538	538	0.01594	606	0.01894	62	0.00205	90	0.00223	2940	0.10249	3185	0.10522	201	0.00612	208	0.00545	871	0.03267	942	0.03193	1777	0.07346	1995	0.08966	0	0.00000	0	0.00000	344	0.00881	101	0.00308
Bifidobacterium breve	2582	S	1510	0.05770	1318	0.04366	132	0.00565	0	0.00000	4168	0.12914	4376	0.13556	895	0.03334	924	0.02836	227	0.00659	145	0.00424	0	0.00000	0	0.00000	0	0.00000	61	0.00198	3195	0.09464	5476	0.17118	1418	0.04678	2984	0.07384	182	0.00634	149	0.00492	5456	0.16622	5685	0.14908	376	0.01410	399	0.01352	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Bifidobacterium adolescentis	2579	S	170	0.00650	154	0.00510	0	0.00000	0	0.00000	254	0.00787	217	0.00672	715	0.02663	603	0.01851	206	0.00598	202	0.00591	0	0.00000	0	0.00000	375	0.01218	544	0.01763	131	0.00388	142	0.00444	0	0.00000	139	0.00344	1921	0.06697	1904	0.06290	357	0.01088	274	0.00719	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Propionibacterium acnes	2556	S	148	0.00566	94	0.00311	0	0.00000	0	0.00000	175	0.00542	104	0.00322	286	0.01065	296	0.00909	94	0.00273	122	0.00357	162	0.00554	0	0.00000	0	0.00000	0	0.00000	133	0.00394	97	0.00303	0	0.00000	96	0.00238	280	0.00976	250	0.00826	73	0.00222	116	0.00304	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Collinsella aerofaciens	2587	S	1045	0.03993	1145	0.03793	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1161	0.04047	1151	0.03803	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Collinsella stercoris	2588	S	199	0.00760	236	0.00782	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	129	0.00426	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Prevotella melaninogenica	2606	S	0	0.00000	118	0.00391	113	0.00483	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	961	0.03284	0	0.00000	220	0.00715	144	0.00467	0	0.00000	0	0.00000	166	0.00548	234	0.00579	0	0.00000	0	0.00000	0	0.00000	0	0.00000	182	0.00683	165	0.00559	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Anoxybacillus kestanbolensis	2655	S	0	0.00000	152	0.00504	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	155	0.00503	199	0.00645	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Streptomyces mirabilis	2569	S	0	0.00000	212	0.00702	0	0.00000	0	0.00000	305	0.00945	187	0.00579	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Prevotella copri	2604	S	0	0.00000	0	0.00000	37	0.00158	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	60	0.00195	0	0.00000	0	0.00000	0	0.00000	5532	0.18250	4811	0.11905	0	0.00000	0	0.00000	0	0.00000	0	0.00000	68	0.00255	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Clostridium neonatale	2768	S	0	0.00000	0	0.00000	1112	0.04756	770	0.04603	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	2017	0.06552	3478	0.11274	9109	0.26981	6673	0.20860	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
[Ruminococcus] gnavus	2783	S	0	0.00000	0	0.00000	1330	0.05688	510	0.03049	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	437	0.01419	361	0.01170	1613	0.04778	942	0.02945	1131	0.03731	1413	0.03496	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	241	0.00817	828	0.03423	1113	0.05002	0	0.00000	0	0.00000	1605	0.04112	1188	0.03623
Salmonella enterica	2986	S	0	0.00000	0	0.00000	0	0.00000	2061	0.12321	0	0.00000	0	0.00000	0	0.00000	0	0.00000	977	0.02838	604	0.01767	0	0.00000	2433	0.08950	0	0.00000	1079	0.03497	1945	0.05761	1676	0.05239	0	0.00000	0	0.00000	3209	0.11187	3770	0.12455	1916	0.05837	2249	0.05897	0	0.00000	0	0.00000	0	0.00000	0	0.00000	3864	0.11850	3232	0.08898	3530	0.09045	2829	0.08627
Bifidobacterium bifidum	2581	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	2225	0.06894	2512	0.07782	90	0.00335	150	0.00460	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	2577	0.08984	2884	0.09528	0	0.00000	46	0.00121	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Bifidobacterium pseudolongum	2584	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	69	0.00214	106	0.00328	179	0.00667	212	0.00651	64	0.00186	64	0.00187	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	42	0.00131	0	0.00000	0	0.00000	149	0.00519	71	0.00235	0	0.00000	63	0.00165	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Serratia marcescens	2987	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	3073	0.09522	0	0.00000	0	0.00000	0	0.00000	1411	0.04099	1658	0.04851	3610	0.12338	4834	0.17783	0	0.00000	1127	0.03653	5121	0.15168	3880	0.12129	0	0.00000	0	0.00000	6084	0.21210	5404	0.17853	6633	0.20208	6488	0.17013	0	0.00000	0	0.00000	4205	0.17383	2905	0.13056	10176	0.31208	10939	0.30118	8463	0.21684	8884	0.27090
Haemophilus parainfluenzae	3010	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	650	0.02014	1045	0.03237	3014	0.11226	3712	0.11395	1050	0.03050	1628	0.04763	294	0.01005	554	0.02038	0	0.00000	190	0.00616	0	0.00000	219	0.00685	0	0.00000	127	0.00314	0	0.00000	0	0.00000	2373	0.07229	3258	0.08543	0	0.00000	0	0.00000	868	0.03588	499	0.02243	443	0.01359	573	0.01578	212	0.00543	0	0.00000
Acinetobacter johnsonii	3013	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1116	0.03458	2142	0.06636	0	0.00000	0	0.00000	421	0.01223	307	0.00898	1482	0.05065	1515	0.05573	0	0.00000	751	0.02434	1779	0.05269	1382	0.04320	0	0.00000	0	0.00000	2833	0.09876	2064	0.06819	828	0.02523	1310	0.03435	0	0.00000	0	0.00000	0	0.00000	0	0.00000	2035	0.06241	1626	0.04477	1312	0.03362	1236	0.03769
Bifidobacterium thermacidophilum	2585	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	40	0.00124	0	0.00000	46	0.00141	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	69	0.00241	0	0.00000	0	0.00000	45	0.00118	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Bifidobacterium animalis	2580	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	34	0.00127	43	0.00132	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
